관리번호,도로명주소,지번주소,위도,경도,데이터기준일자
신사동-1,서울특별시 강남구 압구정로 165   (압구정동),서울특별시 강남구 압구정동 429 ,37.527181,127.0279637,2025-04-30
신사동-2,서울특별시 강남구 도산대로 135   (신사동),서울특별시 강남구 신사동 537-7 ,37.5179882,127.0231386,2025-04-30
신사동-3,"서울특별시 강남구 압구정로 113   (압구정동, 미성아파트)",서울특별시 강남구 압구정동 416 ,37.5229442,127.0195422,2025-04-30
신사동-4,서울특별시 강남구 강남대로 616   (신사동),서울특별시 강남구 신사동 501 ,37.5166425,127.0198552,2025-04-30
신사동-5,서울특별시 강남구 도산대로 173   (신사동),서울특별시 강남구 신사동 563-33 ,37.5200404,127.0278566,2025-04-30
신사동-6,"서울특별시 강남구 압구정로 151   (압구정동, 현대아파트)",서울특별시 강남구 압구정동 426 ,37.525186,127.0240649,2025-04-30
신사동-7,서울특별시 강남구 압구정로 127   (압구정동),서울특별시 강남구 압구정동 425 ,37.5243621,127.0224302,2025-04-30
신사동-8,서울특별시 강남구 선릉로 845   (신사동),서울특별시 강남구 신사동 664-6 ,37.5276436,127.040445,2025-04-30
신사동-9,서울특별시 강남구 압구정로 144   (신사동),서울특별시 강남구 신사동 574 ,37.5249578,127.0246026,2025-04-30
신사동-10,서울특별시 강남구 압구정로 114   (신사동),서울특별시 강남구 신사동 529-2 ,37.5232786,127.0213041,2025-04-30
신사동-11,서울특별시 강남구 압구정로 154   (신사동),서울특별시 강남구 신사동 575-1 ,37.5258363,127.0265422,2025-04-30
논현1동-1,서울특별시 강남구 봉은사로 179   (논현동),서울특별시 강남구 논현동 192-19 ,37.5074738,127.0335756,2025-04-30
논현1동-2,서울특별시 강남구 강남대로 556   (논현동),서울특별시 강남구 논현동 50-1 ,37.5113792,127.0216222,2025-04-30
논현1동-3,서울특별시 강남구 강남대로 606   (논현동),서울특별시 강남구 논현동 1 ,37.5159838,127.0201578,2025-04-30
논현1동-4,서울특별시 강남구 봉은사로 129   (논현동),서울특별시 강남구 논현동 203-1 ,37.5057003,127.027905,2025-04-30
논현1동-5,서울특별시 강남구 강남대로 476   (논현동),서울특별시 강남구 논현동 200-7 ,37.504874,127.0246882,2025-04-30
논현1동-6,서울특별시 강남구 강남대로 496   (논현동),서울특별시 강남구 논현동 165-5 ,37.5065123,127.0239113,2025-04-30
논현1동-7,서울특별시 강남구 강남대로 502   (논현동),서울특별시 강남구 논현동 165 ,37.5071655,127.0236938,2025-04-30
논현1동-8,서울특별시 강남구 강남대로 548   (논현동),서울특별시 강남구 논현동 120 ,37.5110846,127.0217858,2025-04-30
논현1동-9,서울특별시 강남구 논현로 641   (논현동),서울특별시 강남구 논현동 152-5 ,37.510815,127.0319743,2025-04-30
논현1동-10,서울특별시 강남구 강남대로 574   (논현동),서울특별시 강남구 논현동 19-7 ,37.5130969,127.020756,2025-04-30
논현1동-11,서울특별시 강남구 학동로 107   (논현동),서울특별시 강남구 논현동 51-6 ,37.5116656,127.0225089,2025-04-30
논현1동-12,서울특별시 강남구 강남대로 524   (논현동),서울특별시 강남구 논현동 143-15 ,37.5089612,127.0226787,2025-04-30
논현1동-13,서울특별시 강남구 논현로 667   (논현동),서울특별시 강남구 논현동 129-1 ,37.5136801,127.0306642,2025-04-30
논현2동-1,"서울특별시 강남구 언주로 604   (논현동, ACROHILLS논현)",서울특별시 강남구 논현동 276-1 ,37.5091902,127.0387841,2025-04-30
논현2동-2,서울특별시 강남구 도산대로 336   (논현동),서울특별시 강남구 논현동 94-26 ,37.5225819,127.0389707,2025-04-30
논현2동-3,서울특별시 강남구 언주로 702   (논현동),서울특별시 강남구 논현동 115-13 ,37.5157896,127.0357129,2025-04-30
논현2동-4,서울특별시 강남구 봉은사로 지하201   (논현동),서울특별시 강남구 논현동 279-165 ,37.5076168,127.0340066,2025-04-30
논현2동-5,서울특별시 강남구 언주로 652   (논현동),서울특별시 강남구 논현동 238 ,37.5150712,127.035725,2025-04-30
논현2동-6,서울특별시 강남구 선릉로 601   (논현동),서울특별시 강남구 논현동 278-8 ,37.5106371,127.04338,2025-04-30
논현2동-7,서울특별시 강남구 학동로 342   (논현동),서울특별시 강남구 논현동 241-8 ,37.5168439,127.0411915,2025-04-30
논현2동-8,서울특별시 강남구 언주로 631   (논현동),서울특별시 강남구 논현동 218-11 ,37.5128809,127.0351581,2025-04-30
논현2동-10,서울특별시 강남구 도산대로 240   (논현동),서울특별시 강남구 논현동 62-10 ,37.5211016,127.033622,2025-04-30
논현2동-11,서울특별시 강남구 언주로 738   (논현동),서울특별시 강남구 논현동 91 ,37.5213337,127.0342605,2025-04-30
논현2동-12,서울특별시 강남구 언주로 601   (논현동),서울특별시 강남구 논현동 237-11 ,37.5087495,127.0379485,2025-04-30
논현2동-13,서울특별시 강남구 선릉로 601   (논현동),서울특별시 강남구 논현동 278-24 ,37.5104987,127.0436024,2025-04-30
압구정동-1,서울특별시 강남구 압구정로 230   (신사동),서울특별시 강남구 신사동 617-3 ,37.5288732,127.0334216,2025-04-30
압구정동-2,서울특별시 강남구 압구정로 225   (압구정동),서울특별시 강남구 압구정동 471 ,37.5293954,127.0335852,2025-04-30
압구정동-3,서울특별시 강남구 도산대로 239   (신사동),서울특별시 강남구 신사동 629-24 ,37.5217001,127.0335377,2025-04-30
압구정동-4,"서울특별시 강남구 압구정로 201   (압구정동, 현대아파트)",서울특별시 강남구 압구정동 469-1 ,37.5274964,127.0286337,2025-04-30
압구정동-5,서울특별시 강남구 압구정로 407   (압구정동),서울특별시 강남구 압구정동 515 ,37.5280859,127.0409505,2025-04-30
압구정동-6,서울특별시 강남구 압구정로 343   (압구정동),서울특별시 강남구 압구정동 494 ,37.5281723,127.0406766,2025-04-30
압구정동-7,서울특별시 강남구 압구정로 343   (압구정동),서울특별시 강남구 압구정동 494 ,37.5280566,127.0406258,2025-04-30
압구정동-8,서울특별시 강남구 언주로 865   (신사동),서울특별시 강남구 신사동 618-4 ,37.5277408,127.0333519,2025-04-30
압구정동-9,서울특별시 강남구 언주로 866   (신사동),서울특별시 강남구 신사동 636-2 ,37.5276498,127.0337999,2025-04-30
압구정동-10,서울특별시 강남구 선릉로 801   (신사동),서울특별시 강남구 신사동 666-13 ,37.5234125,127.0389092,2025-04-30
압구정동-11,서울특별시 강남구 도산대로 301   (신사동),서울특별시 강남구 신사동 630-8 ,37.5218222,127.0339393,2025-04-30
압구정동-12,서울특별시 강남구 압구정로 407   (압구정동),서울특별시 강남구 압구정동 515 ,37.5279547,127.0410444,2025-04-30
압구정동-13, ,서울특별시 강남구 신사동 622-4 ,37.5259893,127.0331157,2025-04-30
압구정동-14,서울특별시 강남구 도산대로 203   (신사동),서울특별시 강남구 신사동 587-21 ,37.5201137,127.0283979,2025-04-30
압구정동-15, ,서울특별시 강남구 압구정동 128 ,37.5240435,127.0225654,2025-04-30
압구정동-16,서울특별시 강남구 도산대로 215   (신사동),서울특별시 강남구 신사동 587-12 ,37.5206421,127.0302132,2025-04-30
청담동-1, ,서울특별시 강남구 청담동 1 ,37.5228507,127.0394515,2025-04-30
청담동-2,서울특별시 강남구 도산대로 403   (청담동),서울특별시 강남구 청담동 86-1 ,37.5235665,127.039521,2025-04-30
청담동-3, ,서울특별시 강남구 청담동 48 ,37.5239999,127.0478017,2025-04-30
청담동-4,서울특별시 강남구 학동로 401   (청담동),서울특별시 강남구 청담동 41-2 ,37.517575,127.0414972,2025-04-30
청담동-5, ,서울특별시 강남구 청담동 40 ,37.5192776,127.0407977,2025-04-30
청담동-6,서울특별시 강남구 도산대로 419   (청담동),서울특별시 강남구 청담동 91-2 ,37.5237673,127.0416228,2025-04-30
청담동-7,서울특별시 강남구 도산대로 459   (청담동),서울특별시 강남구 청담동 98-8 ,37.5244019,127.0469101,2025-04-30
청담동-8,서울특별시 강남구 선릉로 846   (청담동),서울특별시 강남구 청담동 78 ,37.5275215,127.0407888,2025-04-30
삼성1동-1,서울특별시 강남구 봉은사로 503   (삼성동),서울특별시 강남구 삼성동 71-9 ,37.5133704,127.0535039,2025-04-30
삼성1동-2,서울특별시 강남구 테헤란로 517   (삼성동),서울특별시 강남구 삼성동 159-7 ,37.5082225,127.0594539,2025-04-30
삼성1동-4,서울특별시 강남구 봉은사로 502   (삼성동),서울특별시 강남구 삼성동 145 ,37.512926,127.0536945,2025-04-30
삼성1동-5,서울특별시 강남구 영동대로 648   (삼성동),서울특별시 강남구 삼성동 78 ,37.5200459,127.0575861,2025-04-30
삼성1동-6,서울특별시 강남구 봉은사로 543   (삼성동),서울특별시 강남구 삼성동 77-15 ,37.5142988,127.0594565,2025-04-30
삼성1동-7,서울특별시 강남구 봉은사로 531   (삼성동),서울특별시 강남구 삼성동 73-2 ,37.5139283,127.0571571,2025-04-30
삼성1동-8,서울특별시 강남구 삼성로 654   (삼성동),서울특별시 강남구 삼성동 52 ,37.5186887,127.0507115,2025-04-30
삼성1동-9,서울특별시 강남구 삼성로 550   (삼성동),서울특별시 강남구 삼성동 150-19 ,37.5107343,127.0547737,2025-04-30
삼성1동-10,서울특별시 강남구 테헤란로 501   (삼성동),서울특별시 강남구 삼성동 157-31 ,37.5071987,127.0568649,2025-04-30
삼성1동-11,서울특별시 강남구 테헤란로87길 22   (삼성동),서울특별시 강남구 삼성동 159-6 ,37.5094017,127.0588045,2025-04-30
삼성1동-12,서울특별시 강남구 봉은사로 524   (삼성동),서울특별시 강남구 삼성동 159 ,37.5136768,127.0579845,2025-04-30
삼성2동-1,서울특별시 강남구 테헤란로 447   (삼성동),서울특별시 강남구 삼성동 144-29 ,37.507039,127.056217,2025-04-30
삼성2동-2,서울특별시 강남구 봉은사로 404   (삼성동),서울특별시 강남구 삼성동 112-1 ,37.5101684,127.0441363,2025-04-30
삼성2동-3,서울특별시 강남구 선릉로 668   (삼성동),서울특별시 강남구 삼성동 8 ,37.5161662,127.0418021,2025-04-30
삼성2동-4,서울특별시 강남구 선릉로 602   (삼성동),서울특별시 강남구 삼성동 37-20 ,37.5105809,127.0439385,2025-04-30
삼성2동-5,"서울특별시 강남구 선릉로 660   (삼성동, 브라운스톤 레전드)",서울특별시 강남구 삼성동 8-2 ,37.5152948,127.0421734,2025-04-30
삼성2동-6,서울특별시 강남구 봉은사로 419   (삼성동),서울특별시 강남구 삼성동 38-34 ,37.5111042,127.0459762,2025-04-30
삼성2동-7,서울특별시 강남구 봉은사로 479   (삼성동),서울특별시 강남구 삼성동 51-2 ,37.5131135,127.0528789,2025-04-30
대치1동-1,서울특별시 강남구 삼성로 150-2    (대치동),서울특별시 강남구 대치동 508 ,37.4941793,127.0630699,2025-04-30
대치1동-2,서울특별시 강남구 남부순환로 2912   (대치동),서울특별시 강남구 대치동 500 ,37.4907994,127.0557499,2025-04-30
